Name,Type,Address,Longitude,Latitude,WGS84_Lng,WGS84_Lat
观音桥(地铁站),交通设施服务;地铁站;地铁站,3号线;9号线,106.532469,29.573462,106.52871,29.576263
红旗河沟(地铁站),交通设施服务;地铁站;地铁站,3号线;6号线,106.526215,29.585387,106.522439,29.588168
大学城(地铁站),交通设施服务;地铁站;地铁站,(在建)17号线;1号线,106.308908,29.607350,106.305061,29.609991
微电园(地铁站),交通设施服务;地铁站;地铁站,(在建)7号线;1号线,106.362894,29.609665,106.35892,29.612209
大坪(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.519184,29.541886,106.515392,29.544662
小什字(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;1号线;6号线,106.583593,29.560028,106.579907,29.56292
冉家坝(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线;环线,106.498821,29.598628,106.494966,29.601324
沙坪坝(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;9号线;环线,106.460425,29.556003,106.456467,29.558607
南坪(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;10号线;3号线,106.569885,29.525990,106.566194,29.528882
李子坝(地铁站),交通设施服务;地铁站;地铁站,2号线,106.537660,29.552892,106.533915,29.555713
杨家坪(地铁站),交通设施服务;地铁站;地铁站,18号线;2号线,106.515931,29.507894,106.512132,29.510674
璧山(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;璧铜线,106.232610,29.612250,106.228843,29.614944
重庆西站(地铁站),交通设施服务;地铁站;地铁站,(在建)永川线;5号线;环线,106.439385,29.500105,106.43539,29.502688
四公里(地铁站),交通设施服务;地铁站;地铁站,3号线;环线,106.576142,29.516665,106.572456,29.519568
较场口(地铁站),交通设施服务;地铁站;地铁站,1号线;2号线,106.574352,29.553575,106.570663,29.556462
上新街(地铁站),交通设施服务;地铁站;地铁站,6号线;环线,106.597196,29.556094,106.593508,29.558992
石桥铺(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线;5号线,106.484891,29.532771,106.480999,29.535449
临江门(地铁站),交通设施服务;地铁站;地铁站,2号线,106.575022,29.558356,106.571333,29.561242
蔡家(地铁站),交通设施服务;地铁站;地铁站,6号线,106.492270,29.736017,106.488387,29.738662
茶园(地铁站),交通设施服务;地铁站;地铁站,6号线,106.642898,29.487559,106.639143,29.490445
花卉园(地铁站),交通设施服务;地铁站;地铁站,4号线;6号线,106.512935,29.583226,106.509122,29.585969
七星岗(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;10号线;1号线,106.562910,29.554914,106.55921,29.557786
重庆北站北广场(地铁站),交通设施服务;地铁站;地铁站,10号线;4号线,106.551178,29.612269,106.547457,29.615101
两路口(地铁站),交通设施服务;地铁站;地铁站,1号线;3号线,106.549380,29.552478,106.545659,29.555326
北碚(地铁站),交通设施服务;地铁站;地铁站,6号线,106.437659,29.825449,106.433641,29.827951
朝天门(地铁站),交通设施服务;地铁站;地铁站,1号线,106.585845,29.564142,106.582159,29.567034
大竹林(地铁站),交通设施服务;地铁站;地铁站,6号线,106.478351,29.628054,106.474434,29.630682
鱼洞(地铁站),交通设施服务;地铁站;地铁站,2号线;3号线,106.505897,29.375867,106.502076,29.378684
大石坝(地铁站),交通设施服务;地铁站;地铁站,4号线;5号线,106.497060,29.571683,106.493201,29.574383
跳磴(地铁站),交通设施服务;地铁站;地铁站,18号线;5号线;江跳线,106.437561,29.408248,106.433569,29.410873
弹子石(地铁站),交通设施服务;地铁站;地铁站,环线,106.592419,29.585888,106.588731,29.588775
嘉州路(地铁站),交通设施服务;地铁站;地铁站,3号线;4号线,106.522156,29.595523,106.518369,29.598289
重庆北站南广场(地铁站),交通设施服务;地铁站;地铁站,10号线;3号线;环线,106.549272,29.606820,106.545548,29.60965
礼嘉(地铁站),交通设施服务;地铁站;地铁站,6号线;国博线,106.488115,29.667234,106.484224,29.66988
回兴(地铁站),交通设施服务;地铁站;地铁站,3号线,106.605749,29.690341,106.602047,29.6932
刘家坪(地铁站),交通设施服务;地铁站;地铁站,6号线;6号线东站段,106.655733,29.524717,106.651943,29.527565
陈家桥(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;1号线,106.328499,29.607427,106.324604,29.610032
磁器口(地铁站),交通设施服务;地铁站;地铁站,(在建)27号线;1号线,106.446420,29.576719,106.442431,29.579285
五里店(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线;环线,106.565175,29.585170,106.561476,29.588035
大龙山(地铁站),交通设施服务;地铁站;地铁站,5号线;6号线,106.498792,29.589491,106.494937,29.59219
龙头寺(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549627,29.616770,106.545903,29.619598
狮子坪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.549203,29.601310,106.545479,29.604141
石油路(地铁站),交通设施服务;地铁站;地铁站,1号线,106.508308,29.538110,106.504485,29.540856
鸳鸯(地铁站),交通设施服务;地铁站;地铁站,3号线,106.560147,29.661318,106.556437,29.664154
袁家岗(地铁站),交通设施服务;地铁站;地铁站,2号线,106.513742,29.528808,106.509935,29.531573
鱼胡路(地铁站),交通设施服务;地铁站;地铁站,3号线,106.539205,29.377749,106.535473,29.380657
大剧院(地铁站),交通设施服务;地铁站;地铁站,6号线,106.576944,29.569584,106.573255,29.572468
双福(地铁站),交通设施服务;地铁站;地铁站,江跳线,106.312200,29.398610,106.308358,29.401334
谢家湾(地铁站),交通设施服务;地铁站;地铁站,2号线;环线,106.517591,29.519096,106.513796,29.521877
黄泥塝(地铁站),交通设施服务;地铁站;地铁站,6号线,106.538072,29.588466,106.534325,29.591276
双碑(地铁站),交通设施服务;地铁站;地铁站,1号线,106.444370,29.605775,106.440376,29.608328
歇台子(地铁站),交通设施服务;地铁站;地铁站,18号线;1号线;5号线,106.499111,29.538754,106.49526,29.541472
光电园(地铁站),交通设施服务;地铁站;地铁站,6号线,106.499401,29.616077,106.495547,29.61877
康庄(地铁站),交通设施服务;地铁站;地铁站,6号线,106.478971,29.634788,106.475056,29.637416
江北机场T3航站楼(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;10号线,106.655275,29.708424,106.651475,29.71122
长生桥(地铁站),交通设施服务;地铁站;地铁站,6号线,106.658049,29.510924,106.654253,29.513774
园博园(地铁站),交通设施服务;地铁站;地铁站,3号线,106.563771,29.674628,106.560065,29.677466
鲤鱼池(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.551742,29.572856,106.548024,29.575702
鱼嘴(地铁站),交通设施服务;地铁站;地铁站,4号线,106.762116,29.623147,106.75811,29.625839
南桥寺(地铁站),交通设施服务;地铁站;地铁站,环线,106.482436,29.590358,106.478533,29.593008
红土地(地铁站),交通设施服务;地铁站;地铁站,10号线;6号线,106.551176,29.584019,106.547456,29.58686
圣泉寺(地铁站),交通设施服务;地铁站;地铁站,(在建)江跳线延伸段;江跳线,106.259645,29.307554,106.255894,29.310396
金童路(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;3号线,106.567399,29.643318,106.563699,29.646169
重光(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;5号线,106.530077,29.649028,106.526307,29.651801
鹅岭(地铁站),交通设施服务;地铁站;地铁站,1号线,106.533923,29.547986,106.530169,29.5508
民安大道(地铁站),交通设施服务;地铁站;地铁站,4号线;环线,106.528416,29.608711,106.524645,29.61149
状元碑(地铁站),交通设施服务;地铁站;地铁站,6号线,106.398891,29.803187,106.394857,29.805664
九公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.559086,29.458466,106.555386,29.461372
牛角沱(地铁站),交通设施服务;地铁站;地铁站,2号线;3号线,106.542605,29.560679,106.53887,29.563509
尖顶坡(地铁站),交通设施服务;地铁站;地铁站,1号线,106.292967,29.607324,106.289154,29.609991
小龙坎(地铁站),交通设施服务;地铁站;地铁站,1号线;9号线,106.468225,29.553697,106.464286,29.556321
曹家湾(地铁站),交通设施服务;地铁站;地铁站,6号线,106.494316,29.721017,106.49044,29.723671
学堂湾(地铁站),交通设施服务;地铁站;地铁站,3号线,106.543121,29.397962,106.539397,29.400867
二郎(地铁站),交通设施服务;地铁站;地铁站,环线,106.462156,29.505032,106.458205,29.50766
化龙桥(地铁站),交通设施服务;地铁站;地铁站,9号线,106.518857,29.549869,106.515063,29.552641
华新街(地铁站),交通设施服务;地铁站;地铁站,3号线,106.537132,29.563956,106.533385,29.566772
烈士墓(地铁站),交通设施服务;地铁站;地铁站,1号线,106.445437,29.567434,106.441447,29.570001
上湾路(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.608952,29.649889,106.605249,29.652756
高庙村(地铁站),交通设施服务;地铁站;地铁站,1号线,106.469211,29.536409,106.465275,29.539042
花溪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.550211,29.432287,106.546499,29.435189
六公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.573332,29.497788,106.569645,29.500696
陈家坪(地铁站),交通设施服务;地铁站;地铁站,环线,106.489492,29.523876,106.485614,29.526571
工贸(地铁站),交通设施服务;地铁站;地铁站,3号线,106.563399,29.531553,106.559701,29.534434
江北城(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线,106.572066,29.575825,106.568374,29.578702
涂山(地铁站),交通设施服务;地铁站;地铁站,环线,106.600133,29.575955,106.596442,29.578846
杨公桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.450227,29.561544,106.446246,29.564123
赖家桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.381441,29.610285,106.377436,29.612807
金山寺(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;6号线,106.492104,29.679292,106.488224,29.681947
双龙(地铁站),交通设施服务;地铁站;地铁站,3号线,106.618788,29.697889,106.615069,29.700739
中央公园西(地铁站),交通设施服务;地铁站;地铁站,10号线;5号线,106.572398,29.722507,106.568697,29.725347
郑家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.529943,29.599459,106.526176,29.602245
上浩(地铁站),交通设施服务;地铁站;地铁站,环线,106.593806,29.546484,106.59012,29.549385
玉带山(地铁站),交通设施服务;地铁站;地铁站,4号线;环线,106.475941,29.581062,106.47202,29.583697
红岩村(地铁站),交通设施服务;地铁站;地铁站,5号线;9号线,106.494552,29.551159,106.490687,29.553859
新山村(地铁站),交通设施服务;地铁站;地铁站,2号线,106.476401,29.471978,106.472488,29.474658
曾家岩(地铁站),交通设施服务;地铁站;地铁站,10号线;2号线,106.550123,29.566441,106.546403,29.569286
铜元局(地铁站),交通设施服务;地铁站;地铁站,3号线,106.551562,29.536006,106.547846,29.538865
莲花(地铁站),交通设施服务;地铁站;地铁站,空港线,106.655893,29.785521,106.652087,29.788305
后堡(地铁站),交通设施服务;地铁站;地铁站,10号线,106.569128,29.538516,106.565436,29.541402
铜梁西(地铁站),交通设施服务;地铁站;地铁站,璧铜线,106.046015,29.825673,106.042135,29.828212
岔路口(地铁站),交通设施服务;地铁站;地铁站,3号线,106.554587,29.448676,106.550881,29.451579
八公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.565862,29.478103,106.56217,29.48101
人和(地铁站),交通设施服务;地铁站;地铁站,5号线,106.522248,29.623325,106.518459,29.626083
重庆东站(地铁站),交通设施服务;地铁站;地铁站,(在建)24号线;(在建)27号线;6号线东站段,106.672880,29.484474,106.669045,29.487307
大渡口(地铁站),交通设施服务;地铁站;地铁站,2号线,106.478209,29.481837,106.474301,29.484517
海棠溪(地铁站),交通设施服务;地铁站;地铁站,环线,106.587058,29.534545,106.583374,29.537449
金竹(地铁站),交通设施服务;地铁站;地铁站,3号线,106.523885,29.375547,106.520116,29.378416
九曲河(地铁站),交通设施服务;地铁站;地铁站,6号线,106.482875,29.653996,106.478969,29.65663
渝北广场(地铁站),交通设施服务;地铁站;地铁站,10号线,106.629775,29.718556,106.626035,29.72139
李家坪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.521050,29.563702,106.517262,29.566476
龙兴(地铁站),交通设施服务;地铁站;地铁站,4号线,106.801778,29.701380,106.797789,29.704097
金渝(地铁站),交通设施服务;地铁站;地铁站,3号线,106.570667,29.635366,106.56697,29.638223
观月路(地铁站),交通设施服务;地铁站;地铁站,空港线,106.652796,29.774956,106.648998,29.777747
青岗坪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.616829,29.660802,106.613115,29.663661
石井坡(地铁站),交通设施服务;地铁站;地铁站,1号线,106.444283,29.589415,106.44029,29.591973
石坪桥(地铁站),交通设施服务;地铁站;地铁站,18号线,106.506265,29.515675,106.502437,29.518424
平安(地铁站),交通设施服务;地铁站;地铁站,2号线,106.485049,29.488733,106.48116,29.49143
悦来(地铁站),交通设施服务;地铁站;地铁站,10号线;国博线,106.547955,29.725508,106.544221,29.728308
头塘(地铁站),交通设施服务;地铁站;地铁站,4号线;9号线,106.573325,29.608210,106.569632,29.611078
翠云(地铁站),交通设施服务;地铁站;地铁站,3号线,106.572709,29.685857,106.569011,29.688705
马王场(地铁站),交通设施服务;地铁站;地铁站,2号线,106.488749,29.496091,106.48487,29.498795
唐家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.540633,29.599152,106.536891,29.601965
奥体中心(地铁站),交通设施服务;地铁站;地铁站,18号线;环线,106.502210,29.523446,106.498369,29.526179
巴山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.469517,29.520574,106.465583,29.523214
刘家台(地铁站),交通设施服务;地铁站;地铁站,9号线,106.563662,29.572813,106.559962,29.575679
邱家湾(地铁站),交通设施服务;地铁站;地铁站,6号线,106.649610,29.497915,106.645837,29.500785
保税港(地铁站),交通设施服务;地铁站;地铁站,4号线;9号线,106.583686,29.616606,106.579997,29.61948
海峡路(地铁站),交通设施服务;地铁站;地铁站,环线,106.546364,29.518395,106.542639,29.52125
动物园(地铁站),交通设施服务;地铁站;地铁站,2号线,106.509401,29.500053,106.505583,29.502817
幸福广场(地铁站),交通设施服务;地铁站;地铁站,5号线,106.508201,29.616560,106.504373,29.619279
华岩寺(地铁站),交通设施服务;地铁站;地铁站,5号线,106.445598,29.493952,106.441613,29.496549
佛图关(地铁站),交通设施服务;地铁站;地铁站,2号线,106.531503,29.549345,106.527743,29.552152
渝鲁(地铁站),交通设施服务;地铁站;地铁站,环线,106.559835,29.595618,106.556128,29.598471
万寿路(地铁站),交通设施服务;地铁站;地铁站,10号线,106.562897,29.523264,106.559199,29.526148
中梁山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.446081,29.459250,106.442099,29.461863
举人坝(地铁站),交通设施服务;地铁站;地铁站,空港线,106.667441,29.791376,106.663602,29.794138
大山村(地铁站),交通设施服务;地铁站;地铁站,3号线,106.543657,29.412858,106.539933,29.415757
唐家沱(地铁站),交通设施服务;地铁站;地铁站,4号线,106.659550,29.605374,106.655744,29.608187
碧津(地铁站),交通设施服务;地铁站;地铁站,3号线;空港线,106.632644,29.711154,106.628899,29.713986
铜梁龙城天街(地铁站),交通设施服务;地铁站;地铁站,璧铜线,106.079252,29.831326,106.075306,29.833812
龙溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.516588,29.589457,106.512786,29.592209
天星桥(地铁站),交通设施服务;地铁站;地铁站,环线,106.458834,29.541700,106.454873,29.544305
思源(地铁站),交通设施服务;地铁站;地铁站,国博线,106.549258,29.807035,106.545522,29.809827
鹿山(地铁站),交通设施服务;地铁站;地铁站,10号线,106.608363,29.720589,106.604656,29.723441
体育公园(地铁站),交通设施服务;地铁站;地铁站,环线,106.487642,29.598616,106.483754,29.601279
龙头寺公园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.550618,29.598563,106.546897,29.601398
南湖(地铁站),交通设施服务;地铁站;地铁站,10号线;环线,106.557155,29.516738,106.553449,29.519615
铁山坪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.669502,29.613942,106.665668,29.616734
中央公园东(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.592215,29.723646,106.588519,29.7265
重庆工商大学(地铁站),交通设施服务;地铁站;地铁站,3号线,106.573876,29.507337,106.570189,29.510241
向家岗(地铁站),交通设施服务;地铁站;地铁站,6号线,106.473231,29.739274,106.469293,29.741864
上桥(地铁站),交通设施服务;地铁站;地铁站,环线,106.442419,29.517693,106.438427,29.520274
黄花园(地铁站),交通设施服务;地铁站;地铁站,2号线,106.564839,29.563396,106.561141,29.566267
华岩中心(地铁站),交通设施服务;地铁站;地铁站,5号线,106.440428,29.429159,106.436439,29.431777
三亚湾(地铁站),交通设施服务;地铁站;地铁站,10号线,106.584785,29.638338,106.581095,29.641207
王家庄(地铁站),交通设施服务;地铁站;地铁站,10号线;国博线,106.545659,29.743497,106.541919,29.746289
寸滩(地铁站),交通设施服务;地铁站;地铁站,4号线,106.606153,29.621815,106.602454,29.62469
兴科大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.603570,29.687725,106.59987,29.690585
凤鸣山(地铁站),交通设施服务;地铁站;地铁站,环线,106.449365,29.524457,106.445385,29.527048
大礼堂(地铁站),交通设施服务;地铁站;地铁站,10号线,106.555675,29.561744,106.551964,29.564601
宝圣湖(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;9号线,106.609487,29.677931,106.605782,29.680791
金建路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.442085,29.442537,106.438097,29.445151
长河(地铁站),交通设施服务;地铁站;地铁站,10号线,106.629425,29.674056,106.625688,29.676899
和睦路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.533455,29.629680,106.529695,29.632467
大溪沟(地铁站),交通设施服务;地铁站;地铁站,2号线,106.558397,29.566175,106.55469,29.569035
建桥(地铁站),交通设施服务;地铁站;地铁站,2号线,106.474727,29.449940,106.470811,29.452625
溉澜溪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.571631,29.594365,106.567937,29.597235
大堰村(地铁站),交通设施服务;地铁站;地铁站,2号线,106.499192,29.499619,106.495344,29.502353
园博中心(地铁站),交通设施服务;地铁站;地铁站,5号线,106.560443,29.675290,106.556733,29.678123
空港广场(地铁站),交通设施服务;地铁站;地铁站,空港线,106.633616,29.736328,106.629867,29.739154
高义口(地铁站),交通设施服务;地铁站;地铁站,国博线,106.527902,29.702776,106.524124,29.705531
民心佳园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.567621,29.626609,106.563922,29.629465
石新路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.477473,29.525708,106.47356,29.528367
彩云湖(地铁站),交通设施服务;地铁站;地铁站,环线,106.471832,29.516037,106.467904,29.518685
白居寺(地铁站),交通设施服务;地铁站;地铁站,18号线;2号线,106.492919,29.416285,106.489057,29.41904
华龙(地铁站),交通设施服务;地铁站;地铁站,环线,106.453159,29.495547,106.449188,29.498158
兰花路(地铁站),交通设施服务;地铁站;地铁站,10号线,106.557704,29.504302,106.554,29.507185
凤西路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.454300,29.513705,106.450331,29.516311
刘家院子(地铁站),交通设施服务;地铁站;地铁站,国博线,106.554491,29.781874,106.550765,29.784679
江津高铁(地铁站),交通设施服务;地铁站;地铁站,江跳线,106.256836,29.342872,106.253084,29.345693
复盛(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;4号线,106.800456,29.656067,106.796468,29.658792
蚂蝗梁(地铁站),交通设施服务;地铁站;地铁站,9号线,106.525285,29.569830,106.521508,29.572613
金家湾(地铁站),交通设施服务;地铁站;地铁站,2号线,106.475526,29.437798,106.471613,29.440492
大江(地铁站),交通设施服务;地铁站;地铁站,2号线,106.501082,29.384138,106.497246,29.386935
春华大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.599731,29.706369,106.596033,29.709226
富华路(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;18号线;9号线,106.504105,29.550922,106.500268,29.55365
江北机场T2航站楼(地铁站),交通设施服务;地铁站;地铁站,10号线;3号线,106.638292,29.718703,106.634534,29.721526
李家沱大桥(地铁站),交通设施服务;地铁站;地铁站,18号线,106.527803,29.468794,106.524038,29.471625
高滩岩(地铁站),交通设施服务;地铁站;地铁站,9号线,106.449715,29.539442,106.445735,29.542028
麒龙(地铁站),交通设施服务;地铁站;地铁站,3号线,106.562563,29.466957,106.558868,29.469865
童家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.555093,29.628394,106.551377,29.631229
动步公园(地铁站),交通设施服务;地铁站;地铁站,环线,106.505348,29.603940,106.501512,29.606654
重庆图书馆(地铁站),交通设施服务;地铁站;地铁站,环线,106.455786,29.532534,106.451819,29.535136
西南大学(地铁站),交通设施服务;地铁站;地铁站,6号线,106.423756,29.816263,106.419724,29.818748
重庆大学(地铁站),交通设施服务;地铁站;地铁站,环线,106.463616,29.568332,106.459664,29.570939
花石沟(地铁站),交通设施服务;地铁站;地铁站,9号线,106.590309,29.752678,106.586612,29.755527
石船(地铁站),交通设施服务;地铁站;地铁站,4号线,106.833681,29.759476,106.829731,29.762241
享堂(地铁站),交通设施服务;地铁站;地铁站,江跳线,106.261625,29.381534,106.257868,29.38433
高石塔(地铁站),交通设施服务;地铁站;地铁站,4号线,106.802914,29.711129,106.798925,29.713846
欢乐谷(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;国博线,106.508855,29.669116,106.505025,29.671824
三板溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.797678,29.667796,106.793686,29.670513
国博中心(地铁站),交通设施服务;地铁站;地铁站,国博线,106.545427,29.716617,106.541689,29.719413
石马河立交(地铁站),交通设施服务;地铁站;地铁站,4号线,106.470002,29.585039,106.466065,29.587657
滩子口(地铁站),交通设施服务;地铁站;地铁站,18号线,106.527366,29.499525,106.523598,29.502341
洪湖东路(地铁站),交通设施服务;地铁站;地铁站,环线,106.512520,29.607648,106.508705,29.610383
黄茅坪(地铁站),交通设施服务;地铁站;地铁站,国博线,106.531485,29.676213,106.527717,29.678983
丛岩寺(地铁站),交通设施服务;地铁站;地铁站,9号线,106.585174,29.744483,106.581478,29.747331
龙驿大道(地铁站),交通设施服务;地铁站;地铁站,4号线,106.794023,29.689518,106.790026,29.692225
湖霞街(地铁站),交通设施服务;地铁站;地铁站,5号线,106.538581,29.659787,106.534831,29.662579
龙凤溪(地铁站),交通设施服务;地铁站;地铁站,6号线,106.403911,29.789492,106.399876,29.79197
盘溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.483346,29.575606,106.479447,29.578264
天梨路(地铁站),交通设施服务;地铁站;地铁站,9号线,106.450777,29.549710,106.446798,29.552294
天堂堡(地铁站),交通设施服务;地铁站;地铁站,2号线,106.472317,29.466830,106.468394,29.469501
中央公园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.583573,29.723674,106.579878,29.726524
高堡湖(地铁站),交通设施服务;地铁站;地铁站,空港线,106.642982,29.751896,106.639211,29.754706
仁济(地铁站),交通设施服务;地铁站;地铁站,环线,106.599596,29.564962,106.595906,29.567857
兰桂大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.596438,29.714271,106.592741,29.717127
双凤桥(地铁站),交通设施服务;地铁站;地铁站,空港线,106.632667,29.728923,106.62892,29.731752
红岩坪(地铁站),交通设施服务;地铁站;地铁站,国博线,106.549364,29.833087,106.545626,29.835877
半山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.450546,29.473233,106.446572,29.475849
